# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
136           	smoothSolver	3.897620e-03	3.068860e-04	2	1.223710e-02	9.223920e-04	2	false	GAMG	1.842930e-01	7.046260e-03	4	true
137           	smoothSolver	3.883010e-03	3.050800e-04	2	1.219710e-02	9.219990e-04	2	false	GAMG	1.865590e-01	6.538240e-03	4	true
138           	smoothSolver	3.868890e-03	3.043200e-04	2	1.217830e-02	9.208710e-04	2	false	GAMG	1.613630e-01	5.786140e-03	4	true
139           	smoothSolver	3.855630e-03	3.029340e-04	2	1.213770e-02	9.186400e-04	2	false	GAMG	1.893820e-01	7.318570e-03	4	true
140           	smoothSolver	3.836640e-03	3.022320e-04	2	1.210340e-02	9.185060e-04	2	false	GAMG	1.924230e-01	7.605270e-03	4	true
141           	smoothSolver	3.823140e-03	3.003130e-04	2	1.207660e-02	9.145390e-04	2	false	GAMG	1.915900e-01	7.270490e-03	4	true
142           	smoothSolver	3.807030e-03	2.993070e-04	2	1.204080e-02	9.149420e-04	2	false	GAMG	1.853930e-01	6.803400e-03	4	true
143           	smoothSolver	3.792160e-03	2.980650e-04	2	1.202200e-02	9.134240e-04	2	false	GAMG	1.915180e-01	7.325560e-03	4	true
144           	smoothSolver	3.779940e-03	2.969600e-04	2	1.199370e-02	9.111430e-04	2	false	GAMG	1.972930e-01	7.608440e-03	4	true
145           	smoothSolver	3.762910e-03	2.956360e-04	2	1.197450e-02	9.113010e-04	2	false	GAMG	1.919300e-01	7.609860e-03	4	true
146           	smoothSolver	3.746200e-03	2.943520e-04	2	1.194360e-02	9.074070e-04	2	false	GAMG	1.883530e-01	7.143570e-03	4	true
147           	smoothSolver	3.735030e-03	2.929720e-04	2	1.193570e-02	9.073640e-04	2	false	GAMG	1.868620e-01	6.878950e-03	4	true
148           	smoothSolver	3.714630e-03	2.922470e-04	2	1.189460e-02	9.071910e-04	2	false	GAMG	1.791440e-01	6.655200e-03	4	true
149           	smoothSolver	3.705560e-03	2.904790e-04	2	1.188140e-02	9.036300e-04	2	false	GAMG	1.926380e-01	7.127550e-03	4	true
150           	smoothSolver	3.688750e-03	2.894350e-04	2	1.185210e-02	9.032820e-04	2	false	GAMG	1.961390e-01	7.522470e-03	4	true
151           	smoothSolver	3.673750e-03	2.882470e-04	2	1.183060e-02	9.013330e-04	2	false	GAMG	2.016590e-01	7.639080e-03	4	true
152           	smoothSolver	3.663220e-03	2.872440e-04	2	1.181530e-02	8.992910e-04	2	false	GAMG	2.091590e-01	7.648120e-03	4	true
