,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
57,102.6,1.7907078105,0.60907161969982,-0.067322406262969,0,,,(,0.562666615820551,-0.072871554252936,0,),,(,0.562666615820551,-0.072871554252936,0.3,)
56,100.8,1.759291884,0.593690656305524,-0.069223043017035,0,,,(,0.578217231545076,-0.07107448768114,0,),,(,0.578217231545076,-0.07107448768114,0.3,)
55,99,1.7278759575,0.578217231545076,-0.07107448768114,0,,,(,0.593690656305524,-0.069223043017035,0,),,(,0.593690656305524,-0.069223043017035,0.3,)
54,97.2,1.696460031,0.562666615820551,-0.072871554252936,0,,,(,0.60907161969982,-0.067322406262969,0,),,(,0.60907161969982,-0.067322406262969,0.3,)
53,95.4,1.6650441045,0.547054155712184,-0.074608994425404,0,,,(,0.624344942574093,-0.065377692847554,0,),,(,0.624344942574093,-0.065377692847554,0.3,)
52,93.6,1.633628178,0.531395258833152,-0.076281508187825,0,,,(,0.639495552002674,-0.063393941614353,0,),,(,0.639495552002674,-0.063393941614353,0.3,)
51,91.8,1.6022122515,0.515705378624118,-0.077883756793239,0,,,(,0.654508496163245,-0.061376110957014,0,),,(,0.654508496163245,-0.061376110957014,0.3,)
50,90,1.570796325,0.499999999102552,-0.079410378085816,0,,,(,0.669368959092487,-0.059329076955194,0,),,(,0.669368959092487,-0.059329076955194,0.3,)
49,88.2,1.5393803985,0.48429461958187,-0.080856004139285,0,,,(,0.68406227530765,-0.057257633334668,0,),,(,0.68406227530765,-0.057257633334668,0.3,)
48,86.4,1.507964472,0.468604739375493,-0.082215281114904,0,,,(,0.698573944279607,-0.055166493047933,0,),,(,0.698573944279607,-0.055166493047933,0.3,)
47,84.6,1.4765485455,0.452945842500885,-0.083482891205147,0,,,(,0.712889644743131,-0.053060291248693,0,),,(,0.712889644743131,-0.053060291248693,0.3,)
46,82.8,1.445132619,0.437333382398706,-0.08465357648793,0,,,(,0.726995248830251,-0.050943589415272,0,),,(,0.726995248830251,-0.050943589415272,0.3,)
45,81,1.4137166925,0.421782766682125,-0.085722164476528,0,,,(,0.740876836012757,-0.04882088036435,0,),,(,0.740876836012757,-0.04882088036435,0.3,)
44,79.2,1.382300766,0.406309341931372,-0.086683595113061,0,,,(,0.754520706840074,-0.046696593887754,0,),,(,0.754520706840074,-0.046696593887754,0.3,)
43,77.4,1.3508848395,0.390928378548511,-0.087532948919055,0,,,(,0.767913396458971,-0.044575102741237,0,),,(,0.767913396458971,-0.044575102741237,0.3,)
42,75.6,1.319468913,0.3756550556874,-0.088265475985922,0,,,(,0.781041687901743,-0.04246072871545,0,),,(,0.781041687901743,-0.04246072871545,0.3,)
41,73.8,1.2880529865,0.360504446273698,-0.088876625461562,0,,,(,0.793892625129765,-0.040357748525342,0,),,(,0.793892625129765,-0.040357748525342,0.3,)
40,72,1.25663706,0.345491502129707,-0.089362075167373,0,,,(,0.806453525819533,-0.038270399265005,0,),,(,0.806453525819533,-0.038270399265005,0.3,)
39,70.2,1.2252211335,0.330631039218729,-0.089717760963095,0,,,(,0.818711993878591,-0.036202883190156,0,),,(,0.818711993878591,-0.036202883190156,0.3,)
38,68.4,1.193805207,0.315937723023497,-0.089939905465424,0,,,(,0.830655931678974,-0.034159371609743,0,),,(,0.830655931678974,-0.034159371609743,0.3,)
37,66.6,1.1623892805,0.301426054073118,-0.090025045720625,0,,,(,0.842273551996111,-0.032144007691162,0,),,(,0.842273551996111,-0.032144007691162,0.3,)
36,64.8,1.130973354,0.287110353632798,-0.089970059431507,0,,,(,0.853553389641386,-0.030160908009872,0,),,(,0.853553389641386,-0.030160908009872,0.3,)
35,63,1.0995574275,0.273004749570484,-0.089772189345269,0,,,(,0.8644843127769,-0.028214162703223,0,),,(,0.8644843127769,-0.028214162703223,0.3,)
34,61.2,1.068141501,0.259123162414363,-0.08942906542089,0,,,(,0.87505553390125,-0.026307834119627,0,),,(,0.87505553390125,-0.026307834119627,0.3,)
33,59.4,1.0367255745,0.245479291614983,-0.088938724412846,0,,,(,0.885256620495488,-0.024445953887124,0,),,(,0.885256620495488,-0.024445953887124,0.3,)
32,57.6,1.005309648,0.232086602025548,-0.088299626531775,0,,,(,0.895077505318762,-0.022632518359447,0,),,(,0.895077505318762,-0.022632518359447,0.3,)
